,bron_naam,type_bron,MWcapaciteit,capfactor,volfactor,status,Brontemperatuur,Uitkoppel_min,Uitkoppel_max,Productiekosten,targetGMC,xcor,ycor
456,Slachthuis Kerkrade BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.7145428578423428,0.03847363276077119
457,Slibontwateringsinstallatie / RWZI Heerenveen,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.6659369411209022,0.8109782280475971
458,Slibverwerking Noord-Brabant NV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.32409421794829407,0.3419131712845699
459,Sloe Centrale BV Vlissingen,STEG,495.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.08852344979540985,0.2570406066060509
460,Smit en Zoon,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.44964650725559785,0.5693691378940579
461,Smit en Zoon BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.5276008278758284,0.5183901871840008
462,Smurfit Kappa,Industrie,1.4,0.31,0.96,Optie B,80.0,220.25454545454545,250.0,2.0090909090909093,,0.553267368766061,0.25318486169274496
463,Smurfit Kappa Roermond Papier BV,Industrie,15.5,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.6999028880903415,0.16408713941461528
464,Smurfit Kappa Solid Board Coevorden,Industrie,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.8839960385182098,0.6989109526674464
465,Smurfit Kappa Solid Board Hoogkerk,Industrie,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.8210468310888458,0.9020879301350652
466,Smurfit Kappa Solid Board KM4 Oude Pekela,Industrie,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.944081152098975,0.8598561441042959
467,Smurfit Kappa Solid Board Nieuweschans,Industrie,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.9980272916138191,0.8937101781420822
468,Solidpack BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.7071296853178818,0.5034850449571149
469,Solvay Chemie BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.68806235136964,0.14951182994335865
470,Sonac Burgum BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.690059229550934,0.8887791784454249
471,Sonac BV Harlingen,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.5487030757802461,0.8878457517469941
472,Sonac Loenen BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.706559148694655,0.5024955466902272
473,Sonac Vuren BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.4586419680151414,0.3934858209547596
474,Sonneborn Refined Products BV Amsterdam,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.3912691999670251,0.5997665246528497
475,Staalstraal Brabant BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.3968338338322311,0.33282957719454026
476,Stadsverwarming Purmerend,STEG,44.0,,,Optie B,80.0,220.25454545454545,250.0,2.0090909090909093,,0.43270917670073633,0.6459760937165078
477,Standic BV,Industrie,0.32,,,Optie B,80.0,200.0,200.0,2.0,,0.33856302671332733,0.37781876506237017
478,Steenfabriek De Nijverheid BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.7769253322259683,0.41903466620580143
479,Steenfabriek De Rijswaard BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.4722587754228226,0.37006769530508277
480,Steenfabriek De Vlijt BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.8771115632646057,0.44345548343259117
481,Steenfabriek Engels Oeffelt BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.6746090977939505,0.340877496431894
482,Steenfabriek Gebroeders Klinkers BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.6134856075589125,0.043335367578746356
483,Steenfabriek Huissenswaard,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.6926760908628012,0.4231707689613922
484,Steenfabriek Linssen BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.7056843258723737,0.0348586657590746
485,Steenfabriek Nievelsteen BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.7198716699032818,0.04930534045563581
486,Steenfabriek Spijk BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.7380831989166833,0.39976253829438424
487,Steenfabriek VOGELENSANGH,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.6117359619143501,0.4145951173150317
488,Steenindustrie Strating BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.9442827417058485,0.8592096719032626
489,Stichting Mestverwerking Gelderland SMG KGBI Ede,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.5933342540265396,0.47027418479280564
490,Stichting Mestverwerking Gelderland SMG KGBI Elspeet,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.6347894450702036,0.5545728404765297
491,Stichting Mestverwerking Gelderland SMG KGBI Putten,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.5763322626543791,0.5532732994193504
492,Stichting Mestverwerking Gelderland SMG KGBI Stroe,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.6181335792494673,0.5190201677472527
493,Stichting Vergunning Moleneind,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.5740615268939361,0.36810519040908873
494,Stork Fokker AESP BV,Industrie,0.46,,,Optie B,80.0,200.0,200.0,2.0,,0.3508866177750276,0.3913913829565139
495,Stork Prints,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.6825966105191267,0.3229016112500998
